station;to station;azimuth;distance m
Schmidt;Big Creek;206.624441666667000;28741.660
Schmidt;Skaggs;279.169247222222000;26506.080
Canyon;Indian Creek;171.891083333333000;23570.520
Canyon;Schmidt;262.434897222222000;33581.990
Indian Creek;Big Creek;262.097125000000000;49857.690
Indian Creek;Schmidt;297.294944444444000;41210.930
Beaver;Indian Creek;244.517500000000000;37249.480
Beaver;Canyon;281.133547222222000;37769.800
Monument;Indian Creek;275.545586111111000;35677.840
Monument;Beaver;354.461950000000000;19573.420
Gopher;Monument;293.210663888889000;25808.340
Gopher;Beaver;319.116477777778000;39214.450
Sheridan;Gopher;229.306461111111000;22439.940
Sheridan;Beaver;289.291161111111000;45287.330
Teeters Hill;Gopher;288.208616666667000;29030.440
Teeters Hill;Sheridan;335.961722222222000;25978.370
Wallace Bluffs;Teeters Hill;200.238752777778000;26521.600
Wallace Bluffs;Sheridan;266.612616666667000;19819.080
Turtle;Teeters Hill;256.676383333333000;24950.360
Turtle;Wallace Bluffs;321.651077777778000;24420.760
Curlew;Turtle;186.211116666667000;20219.260
Curlew;Wallace Bluffs;266.855652777778000;17370.820
McLane;Turtle;273.533008333333000;17921.880
McLane;Curlew;323.419461111111000;26411.940
Arapahoe;McLane;201.223683333333000;31530.140
Arapahoe;Curlew;253.205316666667000;28396.270
Monotony;McLane;269.222141666667000;24759.270
Monotony;Arapahoe;335.268138888889000;32010.990
Cheyenne Wells;Monotony;236.390713888889000;15684.560
Cheyenne Wells;Arapahoe;307.546575000000000;33427.340
First View;Cheyenne Wells;216.603858333333000;21552.340
First View;Arapahoe;274.393555555556000;39503.400
Landsman;Cheyenne Wells;268.731086111111000;16219.580
Landsman;First View;348.748091666667000;17280.190
Kit Carson;Eureka;179.506055555556000;30605.710
Kit Carson;First View;248.984188888889000;28947.640
Eureka;Landsman;277.836169444444000;24088.700
Eureka;First View;306.542111111111000;33963.140
Overland;Eureka;284.176000000000000;27547.700
Overland;Aroya;2.106913888888890;26239.270
Aroya;Eureka;234.857511111111000;33839.260
Aroya;Kit Carson;291.639330555556000;30169.160
Hugo;Overland;277.753619444444000;29936.140
Hugo;Aroya;316.423341666667000;41774.790
Adobe;Hugo;184.586313888889000;44308.580
Adobe;Aroya;246.726783333333000;35218.510
Square Bluffs;Hugo;227.648519444444000;36906.680
Square Bluffs;Adobe;308.983744444444000;30701.130
Cramers Gulch;Square Bluffs;197.272658333333000;30108.260
Cramers Gulch;Adobe;253.918933333333000;34162.900
Holt;Hugo;263.987577777778000;39842.730
Holt;Square Bluffs;329.142122222222000;24151.640
Big Springs;Square Bluffs;253.009680555556000;38478.350
Big Springs;Cramers Gulch;302.098077777778000;33005.230
Holcolm Hills;Holt;262.090994444444000;30168.460
Holcolm Hills;Big Springs;348.698836111111000;28354.270
El Paso East Base;Divide;160.976727777778000;13472.250
El Paso East Base;Holcolm Hills;247.809905555556000;13568.970
Divide;Holcolm Hills;294.144730555556000;18585.500
Divide;Big Springs;327.469191666667000;41981.610
Plateau;Pikes Peak;139.601512500000000;65495.320
Plateau;Big Springs;213.322728333333000;47805.010
El Paso West Base;Divide;212.803608333333000;12188.020
El Paso West Base;El Paso East Base;282.721008333333000;11289.180
